status,title,company,location,date,tags,link,id,provider,query
new,Java Developer,TrilaSoft,"New Delhi, Delhi",2020-01-21,"HTML , AJAX , Spring , Hibernate , Object , Web , Servlets",https://www.indeed.co.in/viewjob?jk=075b864e9afebb64,075b864e9afebb64,indeed,Trilasoft developer
new,AngularJS Developer,TrilaSoft,New Delhi,2020-01-25,"JavaScript , HTML , CSS , AngularJS , database , performance , API , file , web , caching , mobile , methods , service , build , interface",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=437149&s=58&guid=0000017060def863a168ba4c5ea7b700&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&ea=1&cs=1_d1e01416&cb=1582173190436&jobListingId=3201088291,3201088291,glassdoor,Trilasoft developer
new,Java Developer,TrilaSoft,New Delhi,2020-01-25,"HTML , AJAX , Spring , Hibernate , Object , Web , Servlets",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=437149&s=58&guid=0000017060def863a168ba4c5ea7b700&src=GD_JOB_AD&t=SR&extid=1&exst=EOL&ist=&ast=EOL&vt=w&slr=true&ea=1&cs=1_354dde8e&cb=1582173190437&jobListingId=3201088245,3201088245,glassdoor,Trilasoft developer
