status,title,company,location,date,tags,link,id,provider,query
new,Werkstudent* - Programmierer/Nerd gesucht!,IAV GmbH Ingenieurgesellschaft Auto und Verkehr,"Braunschweig, Niedersachsen",1970-01-01,"html , HTML , CSS , string , select , input , mobile , redux , header , location , Styles , size , textarea",https://stellenangebot.monster.de/werkstudent-programmierer-nerd-gesucht-braunschweig-niedersachsen-de-iav-gmbh-ingenieurgesellschaft-auto-und-verkehr/207977311,207977311,monster,Ingenieurgesellschaft Auto und Verkehr developer
new,"Abschlussarbeit  Softwareentwicklung Java, Python, Machine Learning",IAV GmbH Ingenieurgesellschaft Auto und Verkehr,"Berlin, Berlin",1970-01-01,"Java , Python , Maven , Jenkins , Stream , Bitbucket , Processing",https://stellenangebot.monster.de/abschlussarbeit-–-softwareentwicklung-java-python-machine-learning-berlin-berlin-de-iav-gmbh-ingenieurgesellschaft-auto-und-verkehr/4b57af5a-84ee-4bbd-91ef-cd9438bdd184,4b57af5a-84ee-4bbd-91ef-cd9438bdd184,monster,Ingenieurgesellschaft Auto und Verkehr developer
new,Android Software Entwickler*,IAV GmbH Ingenieurgesellschaft Auto und Verkehr,"Berlin, Berlin",1970-01-01,"Java , Android , Kotlin , Interface",https://stellenangebot.monster.de/android-software-entwickler-berlin-berlin-de-iav-gmbh-ingenieurgesellschaft-auto-und-verkehr/3b8a48d4-278e-45ae-b7e1-04352474efd3,3b8a48d4-278e-45ae-b7e1-04352474efd3,monster,Ingenieurgesellschaft Auto und Verkehr developer
