status,title,company,location,date,tags,link,id,provider,query
new,"Operations Manager, Soft Services",CCO Group,Dubai,2020-02-04,"Excel , search , service , Outlook , package",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=55801&s=58&guid=0000017060d99782a1f1c778fa500384&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_7c81b347&cb=1582172837897&jobListingId=3480533271,3480533271,glassdoor,Emirates Group developer
new,Web GIS Developer,United Arab Emirates University (UAEU),Al ‘Ayn,2020-02-18,"JavaScript , Python , jQuery , R , Database , web , Web , GCC , model , static , frameworks , Leaflet , map , resources , range",https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=437149&s=58&guid=0000017060d99782a1f1c778fa500384&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_09f85987&cb=1582172837916&jobListingId=3494237248,3494237248,glassdoor,Emirates Group developer
new,Digital Teaching and Learning Developer,United Arab Emirates University (UAEU),Al ‘Ayn,2020-02-18,"animation , GCC , audio , video , Video , text , graphics , model , 3d , 3D , upload , resources , range , position , focus",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=437149&s=58&guid=0000017060d99782a1f1c778fa500384&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_113de961&cb=1582172837917&jobListingId=3494237238,3494237238,glassdoor,Emirates Group developer
new,Specials Design Engineer,Hilti Group,Dubai,2020-02-07,"Excel , Windows , performance , date , email , select , assembly , search , Outlook , process , 3D , get , installation , Installation , find",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=839847&s=58&guid=0000017060d99782a1f1c778fa500384&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_016e4aa0&cb=1582172837896&jobListingId=3483948425,3483948425,glassdoor,Emirates Group developer
