status,title,company,location,date,tags,link,id,provider,query
new,Senior Scrum Master,Lendi,Sydney NSW,2020-01-20,"API , process , frameworks",https://au.indeed.com/viewjob?jk=e4195c59d4b6fc82,e4195c59d4b6fc82,indeed,Lendi developer
new,Contract Software Engineer - CMS,Lendi,Sydney NSW,2020-02-03,"Javascript , CSS , Git , debugging , deployment , build , frameworks , cross-browser , components",https://au.indeed.com/viewjob?jk=3262059728073146,3262059728073146,indeed,Lendi developer
new,Senior Software Engineer (Node.js) - API,Lendi,Sydney NSW,2020-01-20,"Git , performance , API , GitHub , service , deployment , build , model , architecture , frameworks , TDD , microservices",https://au.indeed.com/viewjob?jk=f72f41cb4da7624c,f72f41cb4da7624c,indeed,Lendi developer
new,Senior Software Engineer - Java & Node.JS,Lendi,Sydney NSW,2020-01-20,"Java , class , web , search , build , compare , logic",https://au.indeed.com/viewjob?jk=7ddce64502551bf6,7ddce64502551bf6,indeed,Lendi developer
