status,title,company,location,date,tags,link,id,provider,query
new,HCM Developer,Acuity One,"Fort Wayne, IN",2020-02-17,"SQL , Oracle , controls , report",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=352789&s=58&guid=000001705dd05cde9d4e40f95db0bcf3&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_0deed1dd&cb=1582121901667&jobListingId=3493521551,3493521551,glassdoor,Select One developer
new,Senior Java Developer,One Network Enterprises,"Plano, TX",2020-02-03,"java , Java , SQL , database , Oracle , performance , object , testing , JDBC , SOAP , dynamic , JAXB",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=85058&s=58&guid=000001705dd05cde9d4e40f95db0bcf3&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_83ca4e1d&cb=1582121901670&jobListingId=3480204648,3480204648,glassdoor,Select One developer
new,Web Designer/Developer Intern,One Home Advisors,"Forest Hills, NY",2020-01-23,"performance , email , Web , Search , optimization , dynamic , SEO , client , focus , Shopify",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=389273&s=58&guid=000001705dd05cde9d4e40f95db0bcf3&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&ea=1&cs=1_6af9549b&cb=1582121901666&jobListingId=3470853584,3470853584,glassdoor,Select One developer
