status,title,company,location,date,blurb,tags,link,id,provider,query
new,"Summer 2020 Intern- Software Engineer, Search and Discovery",Shutterstock,"Denver, CO 80202 (Union Station area)",2020-01-31,"The Opportunity

Shutterstock is a leading global technology company that offers high-quality assets, tools and services through our creative platform. This platform inspires creators throughout the world by providing diverse content to businesses, marketing agencies and media organizations around the world. The people behind the scenes are a super talented, fiercely passionate group of individuals with the unified goal of working together to build a stronger company for our customers, contributors and colleagues alike.

Are you passionate about front-end software engineering, interested in seeing it done at scale and curious to learn more about user interface development? If so, this opportunity is for you! The Search and Discovery team is seeking a creative, self-motivated, detail-oriented, and disciplined individual to work with us as a summer intern.

In your 10-week internship, you will work alongside front-end engineers, test engineers, UX professionals and product managers to help us improve the way our customers find the media they are looking for. You will be paired with a Senior Engineer and will be involved in all aspects of feature development, from initial design discussions through development and A/B testing. You will also be immersed in our office culture, taking part in regular office activities such as lunch 'n learns and company outings, and gaining professional experience at our vibrant location in downtown Denver.

Note: This role is for Summer 2020, running June through August, and will be based out of Shutterstock's office in Denver, USA.

Responsibilities


Embed with a professional software team and participate in our Software Development Life Cycle (SDLC), attending our daily standups and bi-weekly sprint planning, backlog grooming and retrospective
Pair with a Senior Engineer to build usable and high-quality interfaces for a global audience
Participate in code reviews, both providing feedback to others and implementing feedback you receive
Find creative solutions to complex problems

Requirements


Enrolled in a Bachelor of Sciences degree program in Computer Science, with at least two years of degree requirements completed
Brings passion for building dynamic user interfaces, with animations, responsiveness, and performance
Interested in learning, with the ability to do so in a variety of settings (pairing with another developer, self-study, etc)
Experience (either academic or personal) building front-end software applications using Javascript
Knowledge of NodeJS and React or Vue preferred
Ability to both work independently and as a team player
Excellent communication and organization skills

About Shutterstock

Shutterstock, Inc. (NYSE: SSTK ( https://studio-5.financialcontent.com/prnews?Page=Quote&Ticker=SSTK )), directly and through its group subsidiaries, is a leading global provider of high-quality licensed photographs ( https://www.shutterstock.com/ ), vectors ( https://www.shutterstock.com/vectors ), illustrations ( https://www.shutterstock.com/category/illustrations-clip-art ), videos ( https://www.shutterstock.com/video/ ) and music ( https://www.shutterstock.com/music/ ) to businesses, marketing agencies and media organizations around the world. Working with its growing community of over 350,000 contributors, Shutterstock adds hundreds of thousands of images each week, and currently has more than 180 million images and more than 9 million video clips available.

Headquartered in New York City, Shutterstock has offices around the world and customers in more than 150 countries. The company also owns Bigstock ( https://www.bigstockphoto.com/ ), a value-oriented stock media agency; Shutterstock Custom, a custom content creation platform ( https://www.shutterstock.com/custom ), Offset, a high-end image collection ( https://offset.com/ ); PremiumBeat a curated royalty-free music ( https://www.premiumbeat.com/ ) library; and Rex Features, a premier source of editorial images ( https://www.rexfeatures.com/ ) for the world's media.

For more information, please visit www.shutterstock.com ( https://www.shutterstock.com/ ) and follow Shutterstock on Twitter ( https://twitter.com/shutterstock ), Facebook ( https://www.facebook.com/Shutterstock/ ), and Instagram ( https://www.instagram.com/shutterstock/?hl=en ).

Equal Opportunity Employer, M/F/D/V","image , Facebook , testing , Search , video , dynamic , Twitter , build , interface , find , location",https://www.indeed.com/viewjob?jk=c2349e4da7fe93a6,c2349e4da7fe93a6,indeed,Shutterstock developer
new,"Senior Software Engineer, Studio API",Shutterstock,"Denver, CO 80202 (Union Station area)",2020-01-13,"The Opportunity:
Shutterstock is a growing, fast-paced, entrepreneurial company operating within a disruptive industry for over 15 years. Well-positioned as a leader in the digital content space, Shutterstock has the largest crowd-sourced digital content library in the world, including leading collections of images, vectors, music, and video. We manage a library of creative building blocks for an expanding global customer base.

Shutterstock is looking for top technologists to join our Studio API engineering team to help drive the future growth of our internal orchestration API solution. You will be working with highly-motivated and talented engineers on a full-stack system with quality, performance, and scale in mind at every step of the way.

Our core belief is that the customers are our number one priority so we work hard to deliver value back to them with everything we do. We believe strongly in team ownership of systems, which includes defining the vision of services to prioritization of projects.

Responsibilities:

Contributing to all aspects of the services under the team's ownership, which includes design, implementation, refactoring, automated testing, deployment, and uptime of the services.
Helping other team members grow as engineers through code review, pairing, and mentoring.
Improving internal team processes by keeping what's working, throwing away what's not.
Collaborating on the vision of the services under the team's ownership.
Building the technology the right way: for us, this means simple, well-tested systems that gradually grow over time, and which provide plenty of insight into production performance.
Engineers are expected to support systems they develop in production which involves on-call. The actual periods and frequency vary by team.

Requirements:

10+ years of relevant software development experience
Proficient in architecting REST-based Orchestration or Facade APIs
Advanced knowledge of developing high throughput/low latency scalable services
Expertise in node.js / express
Knowledge of how the Web works and how to make it efficient (HTTP, caching, error handling, response time optimization, etc).
Comfortable with JSON: API, Swagger, or OpenAPI specifications
Knowledge of API security, authentication, and authorization
Familiarity with containerized deployments (Docker, Kubernetes, Helm)
Ability to craft simple and elegant solutions to complex problems.
Software development fundamentals (Data structures, algorithms, problem-solving).
Passionate about what you do and care deeply about the things you build.
Able to clearly communicate to technical and non-technical audiences.
Has a good understanding of continuous delivery, writing unit tests, and automated testing.
BS or MS degree in Computer Science or related experience.

Bonus Qualifications:

Experience with GraphQL and Apollo
Experience with Typescript.
Knowledge of the React front-end framework.

About Shutterstock, Inc.

Shutterstock, Inc. (NYSE: SSTK ( https://studio-5.financialcontent.com/prnews?Page=Quote&Ticker=SSTK )), directly and through its group subsidiaries, is a leading global provider of high-quality licensed photographs ( https://www.shutterstock.com/ ), vectors ( https://www.shutterstock.com/vectors ), illustrations ( https://www.shutterstock.com/category/illustrations-clip-art ), videos ( https://www.shutterstock.com/video/ ) and music ( https://www.shutterstock.com/music/ ) to businesses, marketing agencies and media organizations around the world. Working with its growing community of over 1 million contributors, Shutterstock adds hundreds of thousands of images each week, and currently has more than 297 million images and more than 16 million video clips available.

Headquartered in New York City, Shutterstock has offices around the world and customers in more than 150 countries. The company's brands also include Bigstock ( https://www.bigstockphoto.com/ ), a value-oriented stock media offering; Shutterstock Custom, a custom content creation platform ( https://www.shutterstock.com/custom ); Offset, a high-end image collection ( https://offset.com/ ); PremiumBeat, a curated royalty-free music ( https://www.premiumbeat.com/ ) library; and Shutterstock Editorial, a premier source of editorial images ( https://www.shutterstock.com/editorial ) for the world's media.

For more information, please visit www.shutterstock.com ( https://www.shutterstock.com/ ) and follow Shutterstock on Twitter ( https://twitter.com/shutterstock ) and on Facebook ( https://facebook.com/shutterstock ).

Equal Opportunity Employer, M/F/D/V","image , performance , Facebook , API , security , authentication , testing , Web , join , caching , optimization , video , Kubernetes , Twitter , collections",https://www.indeed.com/viewjob?jk=cba522fa113d2388,cba522fa113d2388,indeed,Shutterstock developer
new,Software Development Engineer in Test,Shutterstock,"Denver, CO 80202 (Union Station area)",2020-01-23,"The Opportunity

Our Quality Org is looking to hire an SDET to drive quality and automated testing for across the Technology organization. SDET's work in cross functional teams on test tools and frameworks so that writing tests is seamless and can be undertaken by any developer on the team (think TDD).

At Shutterstock an SDET should be proficient in coming up with test cases and describing how they can be written either by the SDET or another developer. A Shutterstock SDET should also be able to drive quality within the team by encouraging team members to test their code at all levels (unit tests, integration tests, performance tests, end to end tests, security tests. etc.) and creating/implementing test tools to make testing as efficient as possible.

Responsibilities:

Be part of a stand-alone engineering team working closely with other engineers and product managers in rolling out enhancements and new features.
Work on key features across Shutterstock.com.
Build out automation frameworks to help integrate automated tests seamlessly into current development process.
Drive quality across team by constantly building easy-to-use test frameworks and influencing developers to move towards test driven development.
Work with real world problems faced in scaling the business, suggest innovations/enhancements and work with team in implementing and rolling them out.

Requirements:

1-3 years of experience in software testing and software development.
Proficient in one of the following - Node.js, JavaScript, Ruby or PHP
Strong grasp of computer science fundamentals, algorithms and data structures.
Knowledge of Web Architecture or Micro Service Architecture
Unix and/or Linux; Unix tools and basic Unix scripting languages.
Bachelors Degree (or higher) in Computer Science or related field.
Build tests (manual & automated) based on acceptance criteria, maintain tests; track outcomes, and monitor for inconsistent results
Lead the quality effort of software solutions for projects of sizable scope and impact
Constantly evaluate bugs in the product with keenness to improve the system/software development process to prevent them from repeating
Evaluate software quality to ensure that software is performing according to product requirements
Drive quality across the team by constantly building easy-to-use / robust acceptance tests as well as influencing developers to move towards test-driven development
Participate in executing manual test cases, where required in sprint as well as release regression testing
Determine test case candidates for automation and create automation test scripts at either the UI or Integration layer, providing the appropriate validation as defined in the test case
Adhere to the inverse pyramid of automation (Unit, Integration/Mid-Level and Acceptance Tests) to ensure robustness and in turn enabling faster deployment to production
Be accountable for quality, report bugs, find root cause and follow them through the complete bug life cycle
Be the single point of contact for quality and should act as Go-To person for quality during any major release / feature launch
Creating a thorough test strategy for all major product launches (aka test plan) detailing scope, out of scope, responsibilities, testing types, timelines, tools, owners etc.
Experience with automation frameworks such as Puppeteer, Selenium, Cucumber, or Cypress
Knowledge of open source technologies

About Shutterstock, Inc.

Shutterstock, Inc. (NYSE: SSTK ( https://studio-5.financialcontent.com/prnews?Page=Quote&Ticker=SSTK )), directly and through its group subsidiaries, is a leading global provider of high-quality licensed photographs ( https://www.shutterstock.com/ ), vectors ( https://www.shutterstock.com/vectors ), illustrations ( https://www.shutterstock.com/category/illustrations-clip-art ), videos ( https://www.shutterstock.com/video/ ) and music ( https://www.shutterstock.com/music/ ) to businesses, marketing agencies and media organizations around the world. Working with its growing community of over 1 million contributors, Shutterstock adds hundreds of thousands of images each week, and currently has more than 297 million images and more than 16 million video clips available.

Headquartered in New York City, Shutterstock has offices around the world and customers in more than 150 countries. The company's brands also include Bigstock ( https://www.bigstockphoto.com/ ), a value-oriented stock media offering; Shutterstock Custom, a custom content creation platform ( https://www.shutterstock.com/custom ); Offset, a high-end image collection ( https://offset.com/ ); PremiumBeat, a curated royalty-free music ( https://www.premiumbeat.com/ ) library; and Shutterstock Editorial, a premier source of editorial images ( https://www.shutterstock.com/editorial ) for the world's media.

For more information, please visit www.shutterstock.com ( https://www.shutterstock.com/ ) and follow Shutterstock on Twitter ( https://twitter.com/shutterstock ) and on Facebook ( https://facebook.com/shutterstock ).

Equal Opportunity Employer, M/F/D/V","JavaScript , Ruby , image , performance , Facebook , Selenium , validation , security , Unix , testing , Web , video , Twitter , Service , types",https://www.indeed.com/viewjob?jk=e0d415c1d3bd36f7,e0d415c1d3bd36f7,indeed,Shutterstock developer
new,"Senior Software Engineer, Image Acquisition",Shutterstock,"New York, NY",2020-01-13,"The Opportunity:
As a leader in the stock photo industry, Shutterstock is looking for a highly motivated and talented individual to join our Acquisition Engineering team. The Acquisition Engineering team is responsible for the public-facing user journey, with an emphasis on SEO and driving organic traffic to the website. We strongly believe that in order to put our customers first, we must work closely with them to not only understand their needs but architect solutions that improve their day to day flow. Our core belief is that in order for Shutterstock to succeed, teams and individual team members must be empowered to work with each other to develop the solution that best meets the needs of everyone involved.

Responsibilities:

Contributing to all aspects of the services under the team's ownership, which includes design, implementation, refactoring, automated testing, deployment, and uptime of the services
Helping other team members grow as engineers through code review, pairing, and mentoring
Improving internal team processes by keeping what's working, throwing away what's not
Excited about making usable, interactive interfaces and in love with building things that have never existed
Curious and passionate about finding creative solutions to complex problems
Able communicators that are used to talking through problems and feel a deep need to share the cool stuff that they're working on with others
Building technology the right way: for us, this means simple, organized, well-tested systems that gradually grow over time, and that provides plenty of insight into production performance

Requirements:

5 or more years of relevant experience in web development
Passion for building dynamic user interfaces, with animations, responsiveness, and performance
Excellent knowledge of Javascript language
Experience with React or comparable component-based UI framework
Experience in building tools like Webpack, NPM scripts
Experience in SASS, and CSS Modules
Proficient in Nodejs and ExpressJS
Comfortable with a Git and Continuous Integration workflow
Comfortable with developing RESTful API routes and investigating back-end issues
Ability to work in MacOS and Linux (through SSH)
Ability to debug and understand application performance metrics and dashboards using analytics providers, such as New Relic or Datadog
Ability to both work independently and be a team player
Communication and organization skills

Preferred Qualifications:

Experience with Content Management Systems and/or Content Modeling
Experience with utilizing cloud-based log management providers, such as Sumologic
Experience with NGINX, Apollo/GraphQL and/or JSON: API
Experience working in an agile environment

About Shutterstock:
Shutterstock, Inc. (NYSE: SSTK ( https://studio-5.financialcontent.com/prnews?Page=Quote&Ticker=SSTK )), directly and through its group subsidiaries, is a leading global provider of high-quality licensed photographs ( https://www.shutterstock.com/ ), vectors ( https://www.shutterstock.com/vectors ), illustrations ( https://www.shutterstock.com/category/illustrations-clip-art ), videos ( https://www.shutterstock.com/video/ ) and music ( https://www.shutterstock.com/music/ ) to businesses, marketing agencies and media organizations around the world. Working with its growing community of over 1 million contributors, Shutterstock adds hundreds of thousands of images each week, and currently has more than 297 million images and more than 16 million video clips available.

Headquartered in New York City, Shutterstock has offices around the world and customers in more than 150 countries. The company's brands also include Bigstock ( https://www.bigstockphoto.com/ ), a value-oriented stock media offering; Shutterstock Custom, a custom content creation platform ( https://www.shutterstock.com/custom ); Offset, a high-end image collection ( https://offset.com/ ); PremiumBeat, a curated royalty-free music ( https://www.premiumbeat.com/ ) library; and Shutterstock Editorial, a premier source of editorial images ( https://www.shutterstock.com/editorial ) for the world's media.

For more information, please visit www.shutterstock.com ( https://www.shutterstock.com/ ) and follow Shutterstock on Twitter ( https://twitter.com/shutterstock ) and on Facebook ( https://facebook.com/shutterstock ).

Equal Opportunity Employer, M/F/D/V","Javascript , CSS , Linux , Git , image , MacOS , performance , Facebook , API , NGINX , testing , web , join , NPM , video",https://www.indeed.com/viewjob?jk=a4ef4ec503aa3a14,a4ef4ec503aa3a14,indeed,Shutterstock developer
new,"Software Engineer, Content Pipeline",Shutterstock,"Denver, CO 80202 (Union Station area)",2020-01-13,"The Opportunity:
Shutterstock is looking for a passionate and motivated software engineer II to join our team and help drive the future of our platform. You will be working with extremely talented engineers, focusing on quality, performance, and scale at every step. Our users are our number one priority and we strive to deliver the best. We strongly believe in teamwork, creativity, and ownership of systems and services we develop.

Responsibilities:

Contribute to all aspects of the services under the team's ownership, which includes design, implementation, refactoring, automated testing, deployment, and uptime of the services.
Helping other team members grow as engineers through code review and pairing.
Continuous improvement of internal team processes. innovate, create and the vision of the services with your team the technology the right way: for us, this means simple, well-tested systems that gradually scales over time, and that provides plenty of insight into production performance.
Support production environments on an on-going basis which involves being on-call. The actual periods and frequency vary by team.

Requirements:

At least 3-5 years of experience as a Software Engineer
Experience programming in at least one of the following: Node.js, Java, Perl, Scala, Go, PHP, C/C++
Strong software development fundamentals and the ability to self-teach.
Experience building RESTful APIs
Experience building distributed services/applications which scale elegantly
Proficient in both relational and nonrelational databases
Basic understanding of DevOps and Unix systems
Comfortable with a Git and Continuous Integration/Continuous Delivery (CI/CD) workflow
Passionate about what you do and care deeply about the things you build.
Able to clearly communicate to technical and non-technical audiences.
Ability to both work independently and be a team player

Bonus Qualifications:

Experience with front-end technologies, particularly vanilla JavaScript and React, HTML, CSS, and Typescript or ES6+
Node.js experience with good knowledge of key libraries
Experience building message-driven architecture using tools like RabbitMQ
Familiarity with Amazon Web Services and other cloud service providers
Experience with automated configuration tools like Puppet, Chef or Ansible
Experience building event-driven or message-driven architecture using tools like RabbitMQ and Kafka.
Experience with end-to-end automated testing frameworks
Experience working in an agile environment

About Shutterstock, Inc.

Shutterstock, Inc. (NYSE: SSTK ( https://studio-5.financialcontent.com/prnews?Page=Quote&Ticker=SSTK )), directly and through its group subsidiaries, is a leading global provider of high-quality licensed photographs ( https://www.shutterstock.com/ ), vectors ( https://www.shutterstock.com/vectors ), illustrations ( https://www.shutterstock.com/category/illustrations-clip-art ), videos ( https://www.shutterstock.com/video/ ) and music ( https://www.shutterstock.com/music/ ) to businesses, marketing agencies and media organizations around the world. Working with its growing community of over 1 million contributors, Shutterstock adds hundreds of thousands of images each week, and currently has more than 297 million images and more than 16 million video clips available.

Headquartered in New York City, Shutterstock has offices around the world and customers in more than 150 countries. The company's brands also include Bigstock ( https://www.bigstockphoto.com/ ), a value-oriented stock media offering; Shutterstock Custom, a custom content creation platform ( https://www.shutterstock.com/custom ); Offset, a high-end image collection ( https://offset.com/ ); PremiumBeat, a curated royalty-free music ( https://www.premiumbeat.com/ ) library; and Shutterstock Editorial, a premier source of editorial images ( https://www.shutterstock.com/editorial ) for the world's media.

For more information, please visit www.shutterstock.com ( https://www.shutterstock.com/ ) and follow Shutterstock on Twitter ( https://twitter.com/shutterstock ) and on Facebook ( https://facebook.com/shutterstock ).

Equal Opportunity Employer, M/F/D/V","JavaScript , Java , PHP , HTML , CSS , Git , Typescript , image , Scala , performance , Facebook , Perl , Go , Unix , testing",https://www.indeed.com/viewjob?jk=685132865488e502,685132865488e502,indeed,Shutterstock developer
new,"Software Development Manager, Studio Platform",Shutterstock,"Denver, CO 80202 (Union Station area)",2020-01-13,"The Opportunity:
The Software Development Manager will help lead a team of Shutterstock's Engineers in an agile environment. This position will be responsible for building and managing the team to support Shutterstock products.

Responsibilities:

Develop a team-oriented, supportive culture with a strong focus on creating a working environment that fosters creativity and open communication, as well as one that demands discipline and results
Build a first-class Engineering team that will scale as the company and business grows, identifying and filling any organizational gaps
Be responsible for the output of the Engineering team
Be hands on day to day writing and reviewing code
Work with, train and mentor developers to lead and manage their own teams
Constantly improve team productivity, refine agile processes, and create methods to increase efficiency
Investigate, analyze, and evangelize (if necessary) programming methodologies such as test-driven development, pair programming, etc.
Perform personnel management tasks for a small team of developers, including performance reviews, compliance with company policies, mentoring, and helping plan career growth
Train new developers on our standards, culture, and policies
Attend all developer meetings and take responsibility for resolving problems
Work with the Principal Engineers to help refine and constantly improve the codebase
Encourage active participation in all phases of the project lifecycle, and work with project management to remove impediments and provide visibility to stakeholders
Collaborate with the Director of Engineering in setting roadmap and priorities and ensure those deliverables are met as well as raising concerns identified early on.

Requirements:

Proven track record of meeting schedules on time; clearly defining deliverables and timetables, with demonstrated ability to balance multiple priorities in complex environments and manage teams to successful project completion
Demonstrated ability as an effective mentor and coach who understands how to successfully integrate into a team of talented developers
Significant experience programming in at least one OO language
Extensive React and Javascript experience
Knowledge of redux/flux data pattern
Backend software development experience building and designing websites using any modern development languages at scale, powering multiple consumers. Preferably Node.
Strong Software development fundamentals, data structures, design patterns, Object-Oriented programming, architecture, algorithms, and problem-solving skills.
Very strong knowledge of how the Web works and how to make it efficient (HTTP, caching, page rendering, etc)
Deep understanding and experience working on distributed/high trafficked systems, and preferably real-time systems and workflows with an emphasis on end-to-end speed
Experience with and enthusiasm for agile principles and values
Strong analytical, communication and interpersonal skills
Ability to work well under pressure, handling multiple tasks and balancing multiple objectives, while consistently ensuring that the highest priority objectives are met
Takes ownership of their duties and those they lead
Values working in a diverse, inclusive, and positive environment to steward ideas to completion through teamwork and mentorship not ""rockstar ninja individualism"".

Bonus Skills:

BS or MS degree in Computer Science, Mathematics, Physics, or a related field
Exposure to Jenkins and Trunk Based development
Experience with Open Source Software
ESNext compilation tooling (Babel, Typescript, etc.)
SEO architecture expertise

About Shutterstock:
Shutterstock, Inc. (NYSE: SSTK ( https://studio-5.financialcontent.com/prnews?Page=Quote&Ticker=SSTK )), directly and through its group subsidiaries, is a leading global provider of high-quality licensed photographs ( https://www.shutterstock.com/ ), vectors ( https://www.shutterstock.com/vectors ), illustrations ( https://www.shutterstock.com/category/illustrations-clip-art ), videos ( https://www.shutterstock.com/video/ ) and music ( https://www.shutterstock.com/music/ ) to businesses, marketing agencies and media organizations around the world. Working with its growing community of over 1 million contributors, Shutterstock adds hundreds of thousands of images each week, and currently has more than 297 million images and more than 16 million video clips available.

Headquartered in New York City, Shutterstock has offices around the world and customers in more than 150 countries. The company's brands also include Bigstock ( https://www.bigstockphoto.com/ ), a value-oriented stock media offering; Shutterstock Custom, a custom content creation platform ( https://www.shutterstock.com/custom ); Offset, a high-end image collection ( https://offset.com/ ); PremiumBeat, a curated royalty-free music ( https://www.premiumbeat.com/ ) library; and Shutterstock Editorial, a premier source of editorial images ( https://www.shutterstock.com/editorial ) for the world's media.

For more information, please visit www.shutterstock.com ( https://www.shutterstock.com/ ) and follow Shutterstock on Twitter ( https://twitter.com/shutterstock ) and on Facebook ( https://facebook.com/shutterstock ).

Equal Opportunity Employer, M/F/D/V","Javascript , Typescript , image , performance , Facebook , Jenkins , Web , caching , video , methods , Twitter , architecture , compilation , include , position",https://www.indeed.com/viewjob?jk=2ff29ff5916e6b51,2ff29ff5916e6b51,indeed,Shutterstock developer
